catalyst,Gn(eV),fai1,fai3,I1,Rd-0.07,"Hf,ox(eV)-0.08",TM-N/O-0.13,d band center,MN,mode
VPy-DN,0.348278725,41.37,12.16,6.746,47.9,-8.15,1.91281,-0.545765114,46,3
YPy-DN,0.939612923,13.38,12.16,6.22,93.9,-10.4,2.35745,-0.948440805,12,3
NbPy-DN,0.700901413,55.04,12.16,6.759,78.9,-12.07,2.027535,-0.779425634,47,3
MoPy-DN,0.524246486,71.6,12.16,7.092,72.9,-7.71,2.008325,-0.485935129,50,3
HfPy-DN,0.166725957,26.92,12.16,6.825,87.6,-13.58,1.97737,-1.637965712,45,3
TaPy-DN,0.698250639,40.98,12.16,7.89,82,-13.88,2.00976,-1.597384079,48,3
WPy-DN,0.650153161,58.08,12.16,7.98,77.6,-9.64,2.011985,-0.678051614,51,3
ScPy-DO,0.473915272,13.52,13.76,6.562,59.2,-10.45,2.11587,-1.22202162,11,3
TiPy-DO,0.265062214,27.4,13.76,6.828,52.8,-11.39,1.937925,-0.953202443,43,3
VPy-DO,0.429073151,41.37,13.76,6.746,47.9,-8.15,1.919475,-0.789209126,46,3
YPy-DO,0.819887342,13.38,13.76,6.22,93.9,-10.4,2.35115,-0.855359737,12,3
NbPy-DO,0.751793009,55.04,13.76,6.759,78.9,-12.07,2.041455,-1.525278425,47,3
MoPy-DO,0.600455177,71.6,13.76,7.092,72.9,-7.71,2.02081,-1.160699526,50,3
HfPy-DO,0.370792994,26.92,13.76,6.825,87.6,-13.58,1.99278,-1.630794644,45,3
TaPy-DO,0.866144982,40.98,13.76,7.89,82,-13.88,2.01768,-1.774672365,48,3
WPy-DO,0.6900191,58.08,13.76,7.98,77.6,-9.64,2.02558,-1.54002014,51,3
ScPy-DF,0.283084026,13.52,15.92,6.562,59.2,-10.45,2.10761,-1.562435329,11,3
TiPy-DF,0.240856688,27.4,15.92,6.828,52.8,-11.39,1.93435,-0.89648613,43,3
VPy-DF,0.320027567,41.37,15.92,6.746,47.9,-8.15,1.91511,-0.632543559,46,3
YPy-DF,0.57070802,13.38,15.92,6.22,93.9,-10.4,2.31929,-1.181809131,12,3
NbPy-DF,0.797686985,55.04,15.92,6.759,78.9,-12.07,2.037725,-1.466418898,47,3
MoPy-DF,0.622412389,71.6,15.92,7.092,72.9,-7.71,2.011105,-0.742827534,50,3
HfPy-DF,0.285729323,26.92,15.92,6.825,87.6,-13.58,2.071255,-1.721607574,45,3
TaPy-DF,0.872992482,40.98,15.92,7.89,82,-13.88,2.01551,-1.626329475,48,3
WPy-DF-sNOH,-0.914773134,58.08,15.92,7.98,77.6,-9.64,1.84866,-1.294822758,51,3
ScPy-DC-sNHO,-0.79182948,13.52,19,6.562,59.2,-10.45,2.07832,-1.442186466,11,4
TiPy-DC-sNHO,-0.752377919,27.4,19,6.828,52.8,-11.39,1.9257,-1.134927827,43,4
VPy-DC,0.01585981,41.37,19,6.746,47.9,-8.15,1.7941,-0.547013411,46,4
YPy-DC,-0.881695223,13.38,19,6.22,93.9,-10.4,2.28663,-1.073680321,12,4
NbPy-DC,0.088482631,55.04,19,6.759,78.9,-12.07,2.046,-1.472048032,47,4
TaPy-DC,-0.01951298,40.98,19,7.89,82,-13.88,1.99259,-1.625942738,48,4
WPy-DC,0.117653864,58.08,19,7.98,77.6,-9.64,2.03254,-1.411471463,51,4
ScPy-DN,-0.762182986,13.52,12.16,6.562,59.2,-10.45,2.08328,-1.382638994,11,4
TiPy-DN,-0.73040584,27.4,12.16,6.828,52.8,-11.39,1.9168,-0.858823448,43,4
VPy-DN,-0.250084636,41.37,12.16,6.746,47.9,-8.15,1.96292,-0.545765114,46,4
CrPy-DN,-0.143618351,69.1,12.16,6.767,45.5,-6.26,1.93957,-0.220512748,49,4
YPy-DN,-0.933071775,13.38,12.16,6.22,93.9,-10.4,2.27866,-0.948440805,12,4
NbPy-DN,-0.049942802,55.04,12.16,6.759,78.9,-12.07,2.02345,-0.779425634,47,4
MoPy-DN,-0.030447101,71.6,12.16,7.092,72.9,-7.71,2.03719,-0.485935129,50,4
HfPy-DN,-1.101846738,26.92,12.16,6.825,87.6,-13.58,2.04451,-1.637965712,45,4
TaPy-DN,-0.279020019,40.98,12.16,7.89,82,-13.88,1.96295,-1.597384079,48,4
WPy-DN,0.05567056,58.08,12.16,7.98,77.6,-9.64,2.02319,-0.678051614,51,4
RePy-DN,0.19284135,70.3,12.16,7.88,73.9,-8.93,2.04804,-1.652204598,54,4
ScPy-DO,-0.702813561,13.52,13.76,6.562,59.2,-10.45,2.102,-1.22202162,11,4
TiPy-DO,-0.664772401,27.4,13.76,6.828,52.8,-11.39,1.92495,-0.953202443,43,4
VPy-DO,-0.138361307,41.37,13.76,6.746,47.9,-8.15,1.96745,-0.789209126,46,4
CrPy-DO,-0.014406658,69.1,13.76,6.767,45.5,-6.26,1.93893,-0.518726323,49,4
YPy-DO,-0.45839382,13.38,13.76,6.22,93.9,-10.4,2.29245,-0.855359737,12,4
NbPy-DO,-0.079269191,55.04,13.76,6.759,78.9,-12.07,2.02847,-1.525278425,47,4
MoPy-DO,0.093727116,71.6,13.76,7.092,72.9,-7.71,2.03896,-1.160699526,50,4
HfPy-DO,-0.881579961,26.92,13.76,6.825,87.6,-13.58,2.05485,-1.630794644,45,4
TaPy-DO,-0.25680147,40.98,13.76,7.89,82,-13.88,1.97778,-1.774672365,48,4
WPy-DO,0.080971622,58.08,13.76,7.98,77.6,-9.64,2.02676,-1.54002014,51,4
RePy-DO,0.15274514,70.3,13.76,7.88,73.9,-8.93,2.04827,-1.911466363,54,4
ScPy-DF,-1.131172974,13.52,15.92,6.562,59.2,-10.45,2.08986,-1.562435329,11,4
TiPy-DF,-0.767843762,27.4,15.92,6.828,52.8,-11.39,1.91813,-0.89648613,43,4
VPy-DF,-0.173001053,41.37,15.92,6.746,47.9,-8.15,1.97086,-0.632543559,46,4
CrPy-DF,-0.072491359,69.1,15.92,6.767,45.5,-6.26,1.93964,-0.385113312,49,4
YPy-DF,-0.862674407,13.38,15.92,6.22,93.9,-10.4,2.27815,-1.181809131,12,4
NbPy-DF,0.067814915,55.04,15.92,6.759,78.9,-12.07,2.01945,-1.466418898,47,4
MoPy-DF,0.071182468,71.6,15.92,7.092,72.9,-7.71,2.03868,-0.742827534,50,4
HfPy-DF,-1.002118116,26.92,15.92,6.825,87.6,-13.58,2.04703,-1.721607574,45,4
TaPy-DF,-0.11847992,40.98,15.92,7.89,82,-13.88,1.97599,-1.626329475,48,4
WPy-DF-sNHO,0.092531124,58.08,15.92,7.98,77.6,-9.64,2.02709,-1.294822758,51,4
RePy-DF-sNHO,0.227537311,70.3,15.92,7.88,73.9,-8.93,2.05449,-1.802336923,54,4
